"%name,","%name,"
" for more information or "," pentru mai multe informații sau "
"API Endpoint","Endpoint API"
"API Key","Cheie API"
"API Password","Parolă API"
"API User","Utilizator API"
"AWB created: %1","AWB creat: %1"
"AWB creation is already queued for shipment #%1.","Crearea AWB este deja în coadă pentru livrarea #%1."
"AWB queued","AWB în coadă"
"All shipments on this order already have a Bookurier AWB.","Toate livrările din această comandă au deja AWB Bookurier."
"Are you sure you want to delete the Bookurier AWB?","Sigur doriți să ștergeți AWB-ul Bookurier?"
"Available in Checkout","Disponibil la finalizarea comenzii"
"Back to Order","Înapoi la comandă"
"Base endpoint without path, e.g. https://portal.bookurier.ro","Endpoint de bază fără cale, ex. https://portal.bookurier.ro"
"Billing Info","Informații facturare"
"Bookurier","Bookurier"
"Bookurier AWB","AWB Bookurier"
"Bookurier AWB Code(s)","Cod(uri) AWB Bookurier"
"Bookurier AWB Options","Opțiuni AWB Bookurier"
"Bookurier AWB created. Order moved to Processing.","AWB Bookurier creat. Comanda a fost mutată în Procesare."
"Bookurier Email Shipment Items List","Listă produse email livrare Bookurier"
"Bookurier Shipment (Multi) - Customer","Livrare Bookurier (multiplu) - Client"
"Bookurier Shipment (Multi) - Guest","Livrare Bookurier (multiplu) - Vizitator"
"Bookurier delivery confirmed for AWB %1 (%2). Order closed automatically.","Livrarea Bookurier a fost confirmată pentru AWB %1 (%2). Comanda a fost închisă automat."
"Bucuresti 24h","București 24h"
"Bucuresti Today","București Astăzi"
"Calculate Handling Fee","Calculează taxa de manipulare"
"Cannot print Bookurier AWB. Remove orders without Bookurier AWB and try again.","Nu se poate imprima AWB-ul Bookurier. Eliminați comenzile fără AWB Bookurier și încercați din nou."
"Cannot print Bookurier AWB. Remove orders without Bookurier AWB and try again. Missing: %1","Nu se poate imprima AWB-ul Bookurier. Eliminați comenzile fără AWB Bookurier și încercați din nou. Lipsă: %1"
"Carrier:","Curier:"
"Close Window","Închide fereastra"
"Confirmation","Confirmare"
"Create AWB\\n(%1 remaining)","Creează AWB\\n(%1 rămase)"
"Create Bookurier AWB","Creează AWB Bookurier"
"Create Bookurier AWB for selected orders? If you select more than 10 orders, they will be queued and require Magento cron to process.","Creați AWB Bookurier pentru comenzile selectate? Dacă selectați mai mult de 10 comenzi, vor fi puse în coadă și vor necesita cron Magento pentru procesare."
"Default Packs","Colete implicite"
"Default Pickup Point","Punct de ridicare implicit"
"Default Service Code","Cod serviciu implicit"
"Default Weight (kg)","Greutate implicită (kg)"
"Delete Bookurier AWB","Șterge AWB Bookurier"
"Deleted %1 Bookurier AWB(s).","S-au șters %1 AWB-uri Bookurier."
"Displayed Error Message","Mesaj de eroare afișat"
"Eligible Shipments","Livrări eligibile"
"Enable Order Grid Print Button","Activează butonul de imprimare în grila de comenzi"
"Enabled","Activat"
"Error:","Eroare:"
"Exception during API request.","Excepție în timpul cererii API."
"Exchange Pack","Schimb colet"
"Failed to create AWB.","Crearea AWB a eșuat."
"Failed to delete Bookurier AWB.","Ștergerea AWB-ului Bookurier a eșuat."
"Failed to print Bookurier AWB.","Imprimarea AWB-ului Bookurier a eșuat."
"Failed to process %1 order(s) for Bookurier AWB creation.","Procesarea a eșuat pentru %1 comandă/comenzi la crearea AWB Bookurier."
"HTML","HTML"
"Handling Fee","Taxă de manipulare"
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Dacă aveți întrebări despre comanda dvs., ne puteți scrie la <a href=""mailto:%store_email"">%store_email</a>"
"Ilfov Extins","Ilfov Extins"
"Info:","Info:"
"Insurance Value","Valoare asigurată"
"Invalid JSON response from Bookurier.","Răspuns JSON invalid de la Bookurier."
"Items","Produse"
"Last synced:","Ultima sincronizare:"
"Method Name","Nume metodă"
"Metropolitan","Metropolitan"
"Missing Bookurier API key.","Lipsește cheia API Bookurier."
"Mock API Response","Răspuns API simulat"
"Mocked Bookurier response.","Răspuns Bookurier simulat."
"N/A","N/A"
"National 24","Național 24"
"National Economic","Național Economic"
"National Premium","Național Premium"
"No AWB code returned by Bookurier.","Bookurier nu a returnat niciun cod AWB."
"No AWB yet","Fără AWB încă"
"No Bookurier AWB found for selected orders.","Nu s-a găsit AWB Bookurier pentru comenzile selectate."
"No Bookurier AWB found for this order.","Nu s-a găsit AWB Bookurier pentru această comandă."
"No orders selected.","Nu au fost selectate comenzi."
"Notes","Note"
"Notify Customer on AWB Creation","Notifică clientul la crearea AWB"
"Order ID is missing.","Lipsește ID-ul comenzii."
"Order does not use Bookurier shipping.","Comanda nu folosește livrare Bookurier."
"Order has no shipment to attach AWB. Create a shipment first.","Comanda nu are o livrare la care să se atașeze AWB-ul. Creați mai întâi o livrare."
